Temperature (°C),Precipitation (mm),Humidity (%),Wind Speed (km/h),Soil Type,Soil pH,Nitrogen (N),Phosphorus (P),Potassium (K),Soil Moisture (%),Rice Variety,Fertilizer Type,Fertilizer Quantity (kg/ha),Irrigation Type,Irrigation Frequency (per month),Location,Yield (kg/ha),Quality (grade),Cost of Production (₹/ha),Market Price (₹/kg)
20.2,246.819466446278,71.0,10.6,Marsh,5.8,15.9,24.6,17.7,42.917839527537474,Brown Rice,DAP,102.02756590577069,Drip,6.0,Location 7,5543.010149041768,B,7281.0,42.8
26.609905097910787,234.33526403167696,74.8,13.8,Desert,7.0,20.7,15.0,11.8,46.88957911,Ponni,SSP,101.59452351333532,Surface,3.0,Location 11,5782.267550465299,C,4273.0,24.34
20.4,180.12667657608654,60.3,14.7,Marsh,6.2,18.9,12.1,10.0,39.86472584949112,Red Rice,Manure,82.80480728653905,Well,7.0,Location 1,5981.067819649409,A,8438.0,26.99
33.781976563006175,249.3406962289178,71.3,5.5,Black,5.8,19.2,12.5,16.5,42.633745636289134,IR64,Urea,66.49431791650667,Well,8.0,Location 14,6020.044675740486,B,9142.0,26.22
26.14152878208228,253.96325011799493,71.1,5.3,Red,7.1,11.1,10.7,24.0,48.04786587814202,Ponni,Urea,66.97395787153759,Rainfed,3.0,Location 3,5748.550242649696,D,4445.0,48.36
24.3905080314186,161.5276426635097,63.4,10.3,Marsh,5.8,21.8,21.8,16.3,40.531680576409386,Basmati,Manure,108.95765594005304,Rainfed,3.0,Location 12,5799.284280805809,D,3833.0,114.465
20.7,222.7714725572866,68.2,14.7,Desert,6.2,20.1,20.6,19.9,43.06583842839332,Brown Rice,DAP,84.79557917680398,Surface,7.0,Location 11,5613.1109499500635,D,7565.0,25.14
20.9,236.90469943201407,70.6,8.9,Alluvial,5.5,10.7,13.4,19.8,36.158185537925206,Swarna,Urea,93.57286596771328,Sprinkler,3.0,Location 7,5834.90485026305,B,3845.0,25.31
31.828338918835566,275.68705691056465,85.4,9.2,Desert,7.2,11.0,12.7,13.5,48.80095927387384,Ponni,SSP,76.71554260108059,Canal,5.0,Location 7,5679.835434303582,A,5975.0,28.08
21.2,208.71481269173745,84.3,7.2,Alluvial,6.7,15.8,10.7,17.1,49.70934291826234,Red Rice,Urea,91.37894966,Tank,7.0,Location 11,5965.518165499369,C,8098.0,43.5
21.3,169.36232904024965,71.1,14.4,Alluvial,6.3,10.1,24.4,23.5,49.20116610031377,Sona Masuri,MOP,80.63622509347164,Drip,2.0,Location 6,5754.401303161339,C,2793.0,38.17
30.300649112954662,265.70436769164235,81.2,9.6,Marsh,7.3,13.0,22.0,18.2,47.94027333555267,IR64,Urea,71.63363627,Sprinkler,4.0,Location 19,5768.0037939044405,B,5096.0,25.6
21.7,161.2249992587386,69.0,10.3,Laterite,6.9,17.1,20.2,21.4,50.79739006,Sona Masuri,SSP,103.1258645286678,Canal,2.0,Location 9,5751.9579895505985,A,2780.0,31.95
21.8,259.036852213958,70.3,7.0,Desert,7.1,21.5,17.0,20.2,36.98999488522136,Red Rice,DAP,85.01488278060975,Canal,8.0,Location 11,6049.288448735525,B,8668.0,25.5
31.447097256648952,207.7989944795466,74.4,10.7,Marsh,6.9,20.9,17.8,22.4,50.91088589158988,Ponni,Manure,93.60210389860669,Tank,4.0,Location 19,5844.822598613854,A,5131.0,44.4
22.0,251.2150953011589,74.7,7.6,Desert,5.6,19.1,21.0,21.3,38.03709230496433,Red Rice,Compost,82.63593875303519,Surface,2.0,Location 1,6065.714981925874,B,3257.0,45.97
22.3,193.7523138,66.4,10.4,Marsh,6.4,21.3,22.4,10.6,44.11778309281736,Brown Rice,SSP,83.65829043776839,Surface,4.0,Location 11,5761.316502354151,A,4720.0,28.57
32.09008503772773,259.3281672757048,70.3,14.5,Black,5.6,13.1,15.0,24.4,44.897131732454966,Ponni,Compost,81.72436846992004,Tank,6.0,Location 3,5795.216965477543,C,7136.0,46.93
23.0,227.7894969618521,72.1,11.4,Desert,6.5,20.4,24.0,18.4,40.82777641073805,Swarna,MOP,73.40465496210533,Canal,3.0,Location 8,5853.456674918213,C,4373.0,20.27
23.3,171.8349434019469,79.0,14.2,Desert,6.9,10.4,19.5,19.1,38.68347276156575,Red Rice,SSP,113.9946697200012,Well,2.0,Location 20,5935.806695971206,B,2592.0,34.38
23.4,197.13061012584663,75.9,14.3,Mountainous,5.9,15.3,20.5,10.3,53.20604163086465,Brown Rice,Compost,81.64191298084982,Surface,3.0,Location 14,5869.002971830824,D,4392.0,41.41
23.8,191.98338893831544,85.8,14.3,Red,7.0,15.8,15.8,12.5,35.76089363070116,Swarna,DAP,117.19254286754098,Localized,2.0,Location 2,5909.186410018811,B,2787.0,45.9
25.72151493097936,179.24989056089166,82.0,3.3,Alluvial,6.5,15.4,20.1,16.9,40.758915583038046,Basmati,DAP,102.36695128406808,Sprinkler,4.0,Location 9,5577.841964330152,D,5235.0,121.815
24.822107008573152,183.5646037583476,81.1,12.9,Marsh,6.1,24.2,13.1,14.7,48.75326187929125,Basmati,DAP,116.8919401466979,Drip,7.0,Location 8,5753.008169658147,B,7843.0,111.375
24.3,179.6450991820954,76.5,6.5,Laterite,7.0,24.0,14.6,22.9,54.130882093764846,Swarna,MOP,118.24624704242196,Localized,4.0,Location 14,5866.176263707622,D,4903.0,45.23
24.7,154.23640470914432,67.6,7.1,Mountainous,6.0,14.6,18.3,10.1,41.34520394499965,Sona Masuri,SSP,109.40434717348528,Sprinkler,5.0,Location 15,5775.584710946109,A,5547.0,22.96
24.8,227.15276967657584,88.9,4.3,Marsh,5.6,20.7,10.4,16.3,48.34337641407648,Swarna,SSP,105.96945310019868,Well,7.0,Location 15,5824.376091011302,B,7933.0,34.23
24.9,172.77409933472865,70.6,5.0,Laterite,6.4,23.1,12.1,18.5,54.585404800716375,Sona Masuri,Compost,101.33586582059225,Sprinkler,7.0,Location 6,5783.676713504869,A,7506.0,29.7
25.0,162.51902892905062,72.7,13.8,Laterite,5.8,24.0,12.2,14.7,42.33082241916268,Red Rice,DAP,80.27509036581422,Sprinkler,5.0,Location 16,5928.710520282249,B,5944.0,33.18
25.2,244.2973296401084,70.1,8.4,Black,6.7,11.4,24.2,20.7,54.28400838909563,Swarna,Manure,87.49964218150845,Tank,5.0,Location 7,5770.099654325015,C,5642.0,35.24
25.2,195.80592125384072,81.0,8.1,Red,6.2,20.3,12.3,12.5,48.551801800866976,Brown Rice,Manure,111.91026440901462,Well,3.0,Location 8,5821.100089845145,A,3587.0,36.69
25.3,249.8637668408266,86.9,5.9,Laterite,6.0,15.9,19.7,16.0,41.97500621703882,Red Rice,MOP,117.21942653876027,Localized,6.0,Location 1,5962.211516181928,D,7498.0,28.29
25.4,194.6793320369081,81.5,11.1,Laterite,5.6,23.9,22.7,24.2,47.99312990471671,Sona Masuri,DAP,90.75959681545729,Surface,5.0,Location 5,5700.615660220322,D,6484.0,35.34
25.8,223.2320328258561,61.2,14.6,Laterite,6.3,21.8,14.5,17.1,38.50554559665469,Brown Rice,DAP,86.76306649532664,Surface,3.0,Location 4,5783.753265258543,C,4005.0,35.98
32.75035022849599,246.10502191524083,61.3,14.4,Black,6.7,11.6,16.9,15.4,54.088030788023474,IR64,Urea,67.19181163334167,Drip,3.0,Location 19,5992.261098033098,D,4489.0,34.86
24.35906546397517,148.34589981710235,69.5,5.6,Mountainous,7.0,24.7,20.1,19.2,36.103774053860576,Basmati,Compost,99.69445626763536,Surface,4.0,Location 6,5750.748663264941,D,5149.0,91.305
23.38923839471124,188.1188251,78.1,10.4,Red,6.8,18.4,22.1,16.2,49.66867956469152,Basmati,MOP,114.95328713338871,Sprinkler,2.0,Location 12,5801.206531491424,A,2690.0,100.62
32.85032839562935,245.99705485232624,87.7,14.2,Laterite,5.6,16.2,12.3,24.3,40.02214981126983,Ponni,SSP,71.91805417084626,Canal,5.0,Location 11,5874.799385100407,A,6186.0,23.64
31.173369518517426,293.51605120778254,86.2,4.4,Desert,6.8,24.4,21.4,23.3,45.697710411074624,IR64,SSP,73.82022625425338,Surface,4.0,Location 13,5823.327854487885,C,4748.0,44.09
31.594109949517065,238.0237871,64.7,9.3,Laterite,7.3,19.1,10.0,10.6,44.36757873332353,Ponni,SSP,69.28842981714185,Sprinkler,3.0,Location 18,5837.417293224736,A,3550.0,23.92
26.7,233.6990365288684,77.5,11.2,Laterite,5.7,13.3,25.0,18.8,52.61996121572263,Sona Masuri,DAP,72.64297055406688,Well,8.0,Location 1,5681.928547776362,D,8859.0,26.05
29.230355535770524,257.4879779347402,63.1,13.6,Marsh,6.1,18.0,23.4,13.8,41.362842360456405,Ponni,DAP,97.69356445846486,Rainfed,8.0,Location 17,5838.98954743663,B,8869.0,41.87
27.1,213.71701279487075,77.1,11.4,Black,7.4,10.9,20.1,22.7,41.10127570633279,Red Rice,MOP,81.85803442789536,Drip,7.0,Location 6,5945.401569082976,D,7617.0,46.24
27.4,240.31890160156644,78.3,8.6,Mountainous,7.4,19.8,24.5,20.7,38.56492199380938,Brown Rice,DAP,93.12376981795514,Sprinkler,8.0,Location 10,5756.444222513087,A,9458.0,43.56
27.5,172.1824030509996,71.5,7.7,Desert,6.4,24.0,25.0,22.4,46.11875377617213,Sona Masuri,SSP,88.89655156684292,Drip,3.0,Location 11,5742.555231738836,A,4002.0,29.51
27.5,199.39452556622007,79.7,7.5,Red,6.4,15.4,16.0,21.5,49.83206214304647,Sona Masuri,Urea,87.53023787886815,Surface,2.0,Location 15,5633.8276584404375,B,2980.0,47.89
27.6,264.9279900043142,81.1,14.5,Black,6.4,11.0,16.4,15.9,44.425738885649984,Brown Rice,SSP,94.75831335948894,Localized,6.0,Location 11,5774.962878697089,A,7382.0,42.88
27.8,242.96187394467543,78.8,9.4,Laterite,7.4,18.2,21.1,23.6,50.410881232327306,Sona Masuri,SSP,78.11184165,Tank,3.0,Location 4,5590.389405989663,D,3872.0,34.04
27.8,239.408737508298,62.3,8.1,Marsh,5.9,18.0,19.0,22.4,52.33182101212317,Brown Rice,SSP,106.12686381801016,Rainfed,8.0,Location 1,5759.14684097125,A,9107.0,29.07
27.9,248.11928439623907,86.0,11.2,Mountainous,7.3,15.9,15.4,11.7,50.77366852957361,Brown Rice,MOP,108.76939846212096,Surface,7.0,Location 8,5783.535468681596,C,8373.0,33.02
25.16715290453325,191.6419010701105,74.6,9.2,Marsh,5.9,11.5,22.5,13.3,48.04262429608464,Basmati,Manure,113.35926575506528,Sprinkler,3.0,Location 20,5738.055779778738,D,4462.0,106.155
27.9,186.89261158645647,89.4,14.7,Black,5.7,24.7,22.1,24.1,51.159647093023736,Brown Rice,Manure,80.56290804594451,Localized,3.0,Location 5,5909.018937805461,A,4220.0,21.54
23.50069769010154,127.15510954247814,83.3,5.7,Black,6.0,17.1,13.4,14.3,39.17445777227005,Basmati,Compost,88.55341387206346,Tank,8.0,Location 17,5736.068796041612,B,9432.0,121.065
28.3,216.7214706786675,83.2,9.8,Red,7.4,10.6,15.9,11.8,53.16496758469158,Sona Masuri,Urea,86.94350546857217,Canal,4.0,Location 19,5647.787649289043,C,4521.0,42.86
27.13418400625664,160.75453597907944,74.2,9.1,Laterite,6.4,16.8,15.1,16.2,46.34906527236332,Basmati,Compost,110.8490185186364,Rainfed,5.0,Location 8,5551.54048531198,D,6005.0,133.41
31.408267366563592,288.4764822,87.9,4.0,Desert,6.3,13.5,23.1,10.6,42.07976155086841,IR64,MOP,79.20243551283022,Drip,6.0,Location 13,5914.962960542827,B,7333.0,30.93
31.46370423400519,274.4032466428099,71.7,5.8,Alluvial,7.2,15.5,21.1,20.2,49.12266358900948,Ponni,MOP,83.92571913862577,Surface,8.0,Location 12,5691.560289500383,A,9113.0,35.48
26.82792098108253,183.6691417869413,75.4,6.2,Mountainous,6.7,15.6,21.9,10.2,44.36057261920773,Ponni,Manure,100.2913468767643,Well,7.0,Location 15,5764.123552568085,C,7981.0,44.36
30.479447149292668,194.74001025132208,68.5,9.0,Red,6.2,19.4,21.5,19.5,57.16134356,Ponni,DAP,94.33156537266905,Surface,3.0,Location 19,5877.448388819932,D,4377.0,28.73
29.1,229.8079019755997,75.0,14.0,Desert,7.2,17.9,15.4,16.8,38.00699513742741,Sona Masuri,DAP,84.31031536321355,Tank,7.0,Location 16,5797.564261374115,D,8056.0,41.13
29.1,180.0189888208456,63.3,14.6,Desert,6.4,19.7,24.8,23.3,51.01073306864832,Red Rice,Manure,112.53882596774343,Localized,6.0,Location 12,5884.324377638945,D,6692.0,39.9
29.3,207.40626250073257,71.6,8.0,Mountainous,5.7,18.9,20.5,12.4,52.34420132108194,Brown Rice,SSP,92.07617440844297,Sprinkler,2.0,Location 13,5871.049827824388,D,2879.0,41.27
29.4,161.62527886773697,61.1,7.5,Black,7.4,20.4,12.4,21.7,45.62988556662616,Swarna,Manure,82.71912005588122,Localized,2.0,Location 16,5839.25549461965,D,2743.0,27.21
29.6,227.3653269584636,89.5,7.3,Red,6.7,17.3,19.5,22.7,55.960455755162016,Red Rice,Manure,100.66024427956653,Rainfed,4.0,Location 6,5788.952364652007,A,4771.0,24.39
29.7,205.0993970185486,79.7,4.8,Mountainous,5.5,21.1,15.0,10.7,46.16566848338497,Sona Masuri,DAP,76.54737044606594,Drip,4.0,Location 20,5693.370837189873,C,5262.0,46.76
29.8,224.2803375308512,87.1,10.7,Red,7.2,12.7,15.6,14.4,51.04137047791228,Swarna,MOP,83.26516622685237,Localized,7.0,Location 3,5826.635877598084,A,7833.0,24.92
30.0,204.28730246222125,74.2,8.0,Laterite,6.5,17.5,17.4,24.4,42.4882796775948,Swarna,DAP,76.36470127100374,Canal,6.0,Location 7,5881.3807663763955,D,7245.0,49.79
30.4,249.8087755126984,69.7,12.5,Mountainous,7.2,17.4,11.2,10.8,42.076380651452816,Swarna,MOP,96.29044765383614,Well,8.0,Location 3,5709.2926731603375,A,8528.0,20.99
30.6,192.14729308542053,82.4,7.2,Marsh,7.0,23.6,18.9,10.5,42.56535634210265,Swarna,MOP,77.09086378507388,Well,6.0,Location 8,5851.725452936935,B,7034.0,45.83
30.6,224.4223178,84.0,9.2,Alluvial,5.6,12.0,14.5,21.4,46.67955847257592,Red Rice,DAP,92.71669951271494,Drip,4.0,Location 17,5920.323133827442,A,5301.0,40.36
30.7,207.4184812263622,73.0,10.6,Desert,6.5,19.9,23.9,19.0,48.15724267452856,Swarna,SSP,85.83653332767281,Localized,6.0,Location 7,5849.328682960742,A,7405.0,33.3
30.9,248.0466459,72.3,3.1,Red,6.6,22.1,24.7,20.6,43.56757026211713,Sona Masuri,Compost,87.65496573329945,Sprinkler,5.0,Location 6,5702.41586986195,B,6422.0,39.86
31.0,211.3780219858266,69.9,13.1,Marsh,5.9,24.2,24.3,23.4,42.74305425772658,Brown Rice,Manure,108.71419551341828,Well,5.0,Location 20,5814.081360335081,D,6061.0,38.45
27.003473011863324,255.6287231501116,61.8,9.2,Alluvial,5.8,17.4,10.3,22.9,57.314685559605614,Ponni,MOP,81.38904822522974,Well,6.0,Location 18,5849.847115374425,A,7496.0,23.13
32.61268241934709,188.37913529100845,83.3,10.5,Laterite,6.9,22.3,18.7,15.3,50.40251761136483,Ponni,Compost,79.94044056622735,Localized,8.0,Location 1,5817.675579786224,B,9210.0,36.98
31.8,211.47671040351864,83.3,9.2,Laterite,6.6,13.9,13.5,11.8,42.189063020433046,Swarna,Urea,101.33532379795524,Sprinkler,3.0,Location 7,5815.786556661209,A,3673.0,35.46
29.65293825,231.6123700741093,72.0,12.2,Laterite,5.8,24.4,15.1,17.9,50.34994535334572,Ponni,Manure,85.62553386605006,Drip,8.0,Location 7,5846.119662306534,D,9137.0,20.23
31.9,172.2085606836467,84.4,9.3,Mountainous,6.2,19.8,17.1,18.3,54.884054358278846,Red Rice,Compost,91.69369506500632,Well,2.0,Location 14,5850.277512676293,D,2843.0,31.34
33.55357982975597,270.1977595166197,67.7,10.8,Marsh,6.8,15.2,23.1,14.2,58.157969150212566,IR64,Urea,80.88703476008476,Surface,6.0,Location 11,5954.914864799631,A,6706.0,48.84
28.902633579933664,201.9860776641607,81.3,12.4,Desert,7.4,25.0,12.3,23.5,57.70757129134212,Ponni,Urea,100.56239812758916,Tank,7.0,Location 17,5937.773245666768,C,8133.0,22.15
32.0,185.960023349762,60.7,8.1,Alluvial,7.2,11.1,11.1,14.5,43.93220224252129,Red Rice,Urea,108.29456572950836,Canal,6.0,Location 4,5890.587787862823,D,7004.0,30.76
27.851889284732387,207.4295703842752,67.3,12.1,Red,6.2,19.9,22.9,19.0,55.74566302470372,Ponni,Manure,94.49114318856672,Sprinkler,4.0,Location 18,5860.077266494701,B,4573.0,28.94
32.2,166.0077964313258,69.3,11.8,Marsh,6.9,17.1,11.5,16.5,38.13364893605427,Red Rice,DAP,90.5829318,Drip,5.0,Location 17,5959.806234566665,A,6467.0,45.2
31.41963582603952,250.1840482944416,61.5,12.3,Laterite,5.7,13.0,14.9,11.7,53.30139898,Ponni,MOP,65.20611857076094,Canal,2.0,Location 13,5805.5052918881,B,2528.0,38.14
32.4,180.9860473870142,60.0,8.9,Marsh,6.2,21.0,20.6,10.9,44.17547658939674,Red Rice,DAP,104.29275666468568,Tank,8.0,Location 18,5866.851808873357,A,8739.0,46.25
32.5,208.86621546814743,79.1,13.5,Desert,6.7,13.3,15.1,24.4,53.46318042347481,Sona Masuri,MOP,80.51199825297957,Tank,8.0,Location 9,5691.416828721848,B,8535.0,37.49
32.8,154.55107139625915,64.3,3.8,Alluvial,6.5,18.5,16.1,11.4,37.10189388497999,Sona Masuri,Urea,90.88249682729057,Localized,8.0,Location 4,5921.9776754111845,A,8797.0,24.1
33.0,174.0439521371053,64.6,6.1,Desert,6.4,23.2,24.7,15.7,53.00734903208451,Swarna,MOP,106.37718047953749,Surface,2.0,Location 2,5833.054315663524,D,2728.0,49.79
,183.0192773268712,84.8,3.9,Marsh,6.5,23.3,10.4,19.6,44.271812234854025,Ponni,Compost,92.76631405476502,Rainfed,5.0,Location 13,5832.668587,B,5909.0,25.14
29.19305232551584,231.28923026989065,84.9,9.4,Alluvial,6.8,12.4,11.7,17.6,54.66549730100311,Swarna,Compost,71.21363523110305,Sprinkler,4.0,Location 10,5842.792853067526,D,4885.0,44.59
34.0,169.7982799939795,70.2,3.9,Desert,6.3,21.1,24.5,22.9,54.651477773618254,Sona Masuri,MOP,71.40640238864776,Drip,7.0,Location 12,5749.077696917661,B,8436.0,23.58
34.2,190.4773628957148,76.6,14.9,Black,6.9,16.5,12.1,10.1,52.50902648186593,Sona Masuri,Manure,106.24925679149138,Sprinkler,4.0,Location 15,5708.693499211116,D,5201.0,43.95
34.2,267.3319427901904,78.8,6.9,Marsh,6.3,16.5,12.6,21.8,45.31078056236153,Ponni,SSP,101.78029627623285,Canal,7.0,Location 16,5669.826693999809,C,7626.0,25.63
29.97903764208054,173.2305674853063,88.0,10.0,Laterite,6.0,17.1,15.1,10.6,41.922555468293865,Red Rice,MOP,98.69304334,Canal,3.0,Location 3,5899.625828008707,B,3504.0,31.9
34.3,210.12771725737764,66.0,8.6,Red,7.5,14.2,20.0,21.5,36.47652563128497,Sona Masuri,MOP,102.65457222079424,Localized,2.0,Location 3,5844.014265876572,C,2808.0,24.99
34.6,243.04763451209595,62.1,11.1,Black,7.3,23.9,22.6,23.5,35.60853030674012,Swarna,Compost,91.50579922,Surface,6.0,Location 8,5794.850583682783,D,7183.0,33.52
34.7,227.193086740896,70.4,8.4,Laterite,6.5,22.5,11.8,18.9,44.81932771080949,Sona Masuri,MOP,92.10325330042018,Rainfed,7.0,Location 14,5666.253518210964,C,7674.0,45.06
34.7,248.96849123645487,69.2,13.6,Laterite,6.2,24.2,17.7,24.5,54.18101619631089,IR64,Urea,94.14424169185088,Tank,3.0,Location 1,5935.850694881109,A,4183.0,39.42
28.42621634918732,191.30861259038863,63.6,6.8,Alluvial,5.9,11.9,15.1,19.1,49.35119000425052,Sona Masuri,Manure,104.07234331028972,Surface,8.0,Location 13,5698.332183672203,B,8562.0,45.06
34.8,238.6380230000473,66.6,4.4,Black,7.4,15.9,17.0,18.1,47.96512563884176,Brown Rice,Manure,107.72133223023354,Sprinkler,3.0,Location 3,5725.79191162925,D,3547.0,39.0
,,,,,,,,,,,,,,,,,,,
27.15647011,169.71416168283548,86.91210313809431,2.9684790368086835,Alluvial,5.956527219800742,,,,27.70474837099855,Basmati,Organic,159.60636486912142,Flood,,Location 13,5653.265686786752,C,6992.224981530408,172594.7189863778
18.95123437,179.55347461391472,75.11800835638306,4.369939106969142,Mountainous,7.1783782445173046,,,,32.679953954893215,Basmati,Inorganic,127.94642441743204,Surface,,Location 10,6480.09617279088,A,15493.62590337127,258903.08236658093
22.84942015,170.90721135651302,78.35245243298874,7.375256130239648,Black,6.892154338,,,,21.448688949315947,Basmati,Inorganic,132.03273525041334,Flood,,Location 12,5978.428691171549,B,8880.534831072519,136784.32463150905
25.80788521,131.6487918713202,67.39604382637353,6.502264994384581,Black,6.392788830966406,,,,28.805275056589835,Basmati,Organic,104.19585223845743,Sprinkler,,Location 15,5806.153629899926,C,12764.181501538887,151536.7469964956
24.48496894,120.05160129199918,75.42163415491736,2.779947073720682,Alluvial,5.819690573708383,,,,23.57159936115313,Basmati,Organic,75.51494585,Sprinkler,,Location 16,5873.330640358651,C,15794.302367634322,221815.453881678
19.26512089,184.2854887835457,84.54099917267516,2.8193100676193312,Mountainous,7.064178754451851,,,,37.55501576784515,Basmati,Inorganic,86.98354097167342,Sprinkler,,Location 3,6331.872146240127,C,19638.258026278003,273833.4265706132
26.60026569,111.24273172123112,66.37303083882124,3.464266336639369,Laterite,6.990465920064258,,,,28.50803450710109,Basmati,Organic,89.64991369,Surface,,Location 3,5815.215303254601,A,8230.973065148573,205985.39670095383
24.18073105,199.3001314478122,64.93598158967797,6.103242584489819,Mountainous,5.954724898155003,,,,26.21679954286632,Basmati,Organic,108.86458531317584,Drip,,Location 8,5847.990075448021,B,8264.942651866077,210186.4702472688
27.506601,170.00445015159352,70.82803417902414,7.035013665794232,Red,5.927670693603173,,,,24.591348893839,Basmati,Organic,154.32883099114875,Surface,,Location 14,5711.734288049808,B,5610.653937430532,193848.48161393727
24.01802575,132.03262865108314,88.40421512833566,8.761232695965763,Mountainous,7.232917338978783,,,,36.47143885434736,Basmati,Inorganic,65.03501561361846,Sprinkler,,Location 1,5827.962444469951,C,11530.301994877354,233577.4927901836
26.14585122,152.7714725572866,67.12569414,4.17044881,Marsh,6.564640656517121,,,,35.62385687924781,Basmati,Inorganic,120.68101470253907,Sprinkler,,Location 13,5646.568278203213,A,17041.004818300746,189259.81360083987
